sequenceid,p / mbar,D_iris / mm,,,t_exp / ms,P / W,f_rep / Hz,E_shot / mJ,attenuator / degree,,PM1,PM1 Pitch,CM2 Pitch,CM2,translationsstage,
1,20,8.5,,Al150 gridless,5000,,,,0,600,0,0,12000,0,6624.7,
,20,9,,Al150 gridless,5000,,,,0,600,0,0,12000,0,6624.7,beam moved a bit
2,25,8.5,,Al150 gridless,10000,,,,0,520,0,0,12000,0,6624.7,
3,15,8.5,,Al150 gridless,5000,,,,0,570,0,0,12000,0,6624.7,
4,12,8.5,,Al150 gridless,7000,,,,0,570,0,0,12000,0,6624.7,
5,20,8.5,,Al150 gridless,5000,,,,0,570,0,0,12000,0,6624.7,
,20,8.5,,Al150 gridless,5000,,,,0,570,0,0,12500,0,6624.7,
,20,8.5,,Al150 gridless,5000,,,,0,570,0,0,13000,0,6624.7,
6,20,8.5,,Al150 gridless,5000,,,,0,570,0,0,13000,0,6624.7,WFS realigned
7,20,8.5,,Al150 gridless,5000,,,,0,570,0,0,16000,0,6624.7,
8,20,8.5,,Al150 gridless,5000,,,,0,570,0,0,19000,0,6624.7,
9,20,8.5,,Al150 gridless,5000,,,,0,570,0,0,9000,0,7526.8,beam cut
,20,8.5,,Al150 gridless,5000,,,,0,570,0,0,11000,0,8000,beam cut
10,20,8.5,,Al150 gridless,5000,,,,0,570,0,0,12000,0,6575.1,
11,20,8.5,,Al150 gridless,5000,,,,0,570,0,0,12000,300,6575.1,
12,20,8.5,,Al150 gridless,5000,,,,0,570,0,0,12000,800,6575.1,
13,20,8.5,,Al150 gridless,5000,,,,0,570,0,0,12000,1500,6575.1,
14,20,8.5,,Al150 gridless,5000,,,,0,570,0,0,12000,2500,6575.1,
15,20,8.5,,Al150 gridless,5000,,,,0,570,0,0,12000,4500,6575.1,
16,20,8.5,,Al150 gridless,5000,,,,0,570,0,0,12000,6000,6575.1,
17,20,8.5,,Al150 gridless,5000,,,,0,570,0,0,12000,-1000,6575.1,
,20,8.5,,Al150 gridless,5000,,,,0,570,1000,0,12000,-1000,6575.1,beam moved too much on WFS
18,20,8.5,,Al150 gridless,5000,,,,0,570,0,0,12000,-1000,6575.1,"dark spot aligned, intensity off center, turbo had to be stopped"
